threshold,falsePositives,truePositives,precision,recall,falsePositiveRate,f1,accuracy,falseOmissionRate,feature,group,falseNegatives,trueNegatives,dataset
-1e-06,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.001,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.002,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.003,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.004,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.005,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.006,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.007,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.008,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.009,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.01,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.011,22732.0,9918.0,0.3037672281776417,1.0,1.0,0.4659838376245067,0.3037672281776417,,sex_Female,0.0,,,Train
0.012,22091.0,9915.0,0.3097856651877773,0.999697519661222,0.971801865212036,0.4729987596603377,0.3233078101071975,0.0046583850931677,sex_Female,0.0,3.0,641.0,Train
0.013,18380.0,9882.0,0.3496567829594508,0.9963702359346642,0.808551821221186,0.5176532215819801,0.4359571209800919,0.0082041932543299,sex_Female,0.0,36.0,4352.0,Train
0.014,16466.0,9814.0,0.3734398782343988,0.9895140149223632,0.7243533345064227,0.5422399027570584,0.4924961715160796,0.0163265306122449,sex_Female,0.0,104.0,6266.0,Train
0.015,15571.0,9785.0,0.3859047168323079,0.9865900383141762,0.6849815238430407,0.5547995690877133,0.5190199081163859,0.0182341650671785,sex_Female,0.0,133.0,7161.0,Train
0.016,14890.0,9762.0,0.3959922115852669,0.984271022383545,0.6550237550589477,0.5647671391379809,0.5391730474732006,0.0195048762190547,sex_Female,0.0,156.0,7842.0,Train
0.017,14319.0,9738.0,0.4047886270108492,0.9818511796733213,0.629904979764209,0.5732450331125828,0.555926493108729,0.0209472826719422,sex_Female,0.0,180.0,8413.0,Train
0.018,14069.0,9715.0,0.4084678775647494,0.97953216374269,0.6189072672884041,0.5765236484481633,0.5628790199081164,0.0228964583803293,sex_Female,0.0,203.0,8663.0,Train
0.019,13822.0,9702.0,0.4124298588675395,0.9782214156079856,0.6080415273623087,0.5802284552359308,0.5700459418070444,0.0236686390532544,sex_Female,0.0,216.0,8910.0,Train
0.02,13543.0,9668.0,0.416526646848477,0.974793305101835,0.5957680802393103,0.5836578224516284,0.5775497702909648,0.0264858565526009,sex_Female,0.0,250.0,9189.0,Train
0.021,13329.0,9645.0,0.4198224079394098,0.9724742891712038,0.5863540383600211,0.58646479387085,0.5833996937212864,0.0282141380735841,sex_Female,0.0,273.0,9403.0,Train
0.022,13142.0,9632.0,0.4229384385702994,0.9711635410364992,0.578127749428119,0.5892573106570413,0.588728943338438,0.0289590927501012,sex_Female,0.0,286.0,9590.0,Train
0.023,12955.0,9616.0,0.4260334056975765,0.9695503125630168,0.5699014604962168,0.5919541998830373,0.5939663093415007,0.0299632900089294,sex_Female,0.0,302.0,9777.0,Train
0.024,12814.0,9602.0,0.4283547466095646,0.9681387376487196,0.5636987506598627,0.5939258984350837,0.5978560490045942,0.0308774672659761,sex_Female,0.0,316.0,9918.0,Train
0.025,12658.0,9588.0,0.4309988312505619,0.9667271627344224,0.5568361780749604,0.5961945031712473,0.6022052067381317,0.0317185697808535,sex_Female,0.0,330.0,10074.0,Train
0.026,12525.0,9566.0,0.4330270245801457,0.9645089735833836,0.5509853950378322,0.5977068949357992,0.6056049004594181,0.0333364901979354,sex_Female,0.0,352.0,10207.0,Train
0.027,12427.0,9549.0,0.4345194757917728,0.9627949183303084,0.5466742917473165,0.5987960117890513,0.6080857580398162,0.0345699831365935,sex_Female,0.0,369.0,10305.0,Train
0.028,12320.0,9544.0,0.4365166483717526,0.9622907844323452,0.541967270807672,0.6005915297967402,0.6112098009188361,0.03467457815687,sex_Female,0.0,374.0,10412.0,Train
0.029,12223.0,9533.0,0.4381779738922596,0.961181689856826,0.5377001583670596,0.6019448127801983,0.613843797856049,0.0353405544336331,sex_Female,0.0,385.0,10509.0,Train
0.03,12134.0,9523.0,0.4397192593618691,0.9601734220608994,0.533784972725673,0.6031987331749802,0.6162633996937212,0.035931956699718,sex_Female,0.0,395.0,10598.0,Train
0.031,12030.0,9514.0,0.4416078722614185,0.9592659810445654,0.5292099243357382,0.6047930837200433,0.6191730474732006,0.0363767332973167,sex_Female,0.0,404.0,10702.0,Train
0.032,11943.0,9506.0,0.4431908247470744,0.9584593668078242,0.525382720394158,0.606114706538719,0.6215926493108729,0.036782430140166,sex_Female,0.0,412.0,10789.0,Train
0.033,11841.0,9497.0,0.4450745149498547,0.9575519257914902,0.5208956537040296,0.607691323265933,0.6244410413476263,0.0372171145685997,sex_Female,0.0,421.0,10891.0,Train
0.034,11761.0,9489.0,0.4465411764705882,0.956745311554749,0.5173763857117719,0.6088937371663244,0.6266462480857581,0.0376315789473684,sex_Female,0.0,429.0,10971.0,Train
0.035,11563.0,9470.0,0.4502448533257262,0.9548296027424884,0.5086661974309343,0.6119349940228102,0.6321286370597243,0.0385641731944564,sex_Female,0.0,448.0,11169.0,Train
0.036,11453.0,9450.0,0.4520882170023441,0.9528130671506352,0.5038272039415802,0.6132182602770838,0.634885145482389,0.0398399591385034,sex_Female,0.0,468.0,11279.0,Train
0.037,11336.0,9432.0,0.4541602465331278,0.9509981851179672,0.4986802745029034,0.6147428794890177,0.6379173047473201,0.0409022050159905,sex_Female,0.0,486.0,11396.0,Train
0.038,11174.0,9418.0,0.4573620823620823,0.94958661020367,0.4915537568185817,0.6173713536545395,0.6424502297090352,0.041466246475369,sex_Female,0.0,500.0,11558.0,Train
0.039,11056.0,9402.0,0.4595757161012807,0.9479733817301876,0.4863628365300018,0.6190413484329733,0.6455742725880551,0.0423228346456692,sex_Female,0.0,516.0,11676.0,Train
0.04,10977.0,9387.0,0.4609605185621685,0.9464609800362976,0.4828875593876474,0.6199722607489597,0.6475344563552833,0.0432199251180205,sex_Female,0.0,531.0,11755.0,Train
0.041,10875.0,9374.0,0.4629364413057435,0.9451502319015932,0.4784004926975189,0.6214737958696589,0.650260336906585,0.043867430045964,sex_Female,0.0,544.0,11857.0,Train
0.042,10760.0,9351.0,0.4649694197205509,0.942831215970962,0.4733415449586486,0.6227979619700956,0.6530781010719755,0.0452189169790254,sex_Female,0.0,567.0,11972.0,Train
0.043,10682.0,9338.0,0.4664335664335664,0.9415204678362572,0.4699102586661974,0.6238225666377178,0.6550689127105667,0.0459224069675376,sex_Female,0.0,580.0,12050.0,Train
0.044,10587.0,9321.0,0.4682037371910789,0.939806412583182,0.4657311279253915,0.6250251458459062,0.657457886676876,0.0468529273269502,sex_Female,0.0,597.0,12145.0,Train
0.045,10495.0,9303.0,0.4698959490857662,0.9379915305505142,0.4616839697342952,0.6261273388073765,0.6597243491577336,0.0478524743230625,sex_Female,0.0,615.0,12237.0,Train
0.046,10405.0,9293.0,0.4717737841405219,0.9369832627545877,0.4577247932430054,0.6275661804430038,0.6621745788667688,0.0482550957381099,sex_Female,0.0,625.0,12327.0,Train
0.047,10304.0,9281.0,0.4738830737809548,0.9357733413994757,0.4532817174027802,0.629156356980646,0.6649004594180704,0.0487562189054726,sex_Female,0.0,637.0,12428.0,Train
0.048,10220.0,9265.0,0.4754939697202976,0.9341601129259932,0.4495864860109097,0.6302078019249736,0.6669831546707504,0.0496012153437143,sex_Female,0.0,653.0,12512.0,Train
0.049,10127.0,9258.0,0.4775857621872582,0.9334543254688444,0.4454953369699103,0.6318806948094052,0.6696171516079632,0.0497549943460233,sex_Female,0.0,660.0,12605.0,Train
0.05,10037.0,9233.0,0.4791385573430202,0.930933655979028,0.4415361604786204,0.6326572564067425,0.6716079632465544,0.0511958146487294,sex_Female,0.0,685.0,12695.0,Train
0.051,9940.0,9217.0,0.4811296131962207,0.9293204275055454,0.4372690480380081,0.6340154772141015,0.6740888208269525,0.0519528644482324,sex_Female,0.0,701.0,12792.0,Train
0.052,9863.0,9196.0,0.4825017052311244,0.9272030651340996,0.4338817525954601,0.6347102874693723,0.6758039816232772,0.0531233904789934,sex_Female,0.0,722.0,12869.0,Train
0.053,9796.0,9192.0,0.4840952180324415,0.926799758015729,0.4309343656519444,0.6359925275029406,0.6777335375191424,0.0531400966183574,sex_Female,0.0,726.0,12936.0,Train
0.054,9727.0,9177.0,0.4854528142192129,0.9252873563218392,0.4278989970086222,0.6368052182360696,0.6793874425727412,0.0539065910082933,sex_Female,0.0,741.0,13005.0,Train
0.055,9671.0,9166.0,0.4865955300737909,0.9241782617463198,0.4254355094140419,0.6375239088854112,0.6807656967840735,0.0544414681821472,sex_Female,0.0,752.0,13061.0,Train
0.056,9610.0,9154.0,0.4878490726923897,0.922968340391208,0.4227520675699454,0.6383097413011646,0.6822664624808575,0.0550194440443612,sex_Female,0.0,764.0,13122.0,Train
0.057,9536.0,9143.0,0.4894801648910541,0.9218592458156888,0.4194967446771072,0.6394377032555862,0.6841960183767228,0.0554720492448643,sex_Female,0.0,775.0,13196.0,Train
0.058,9460.0,9128.0,0.491069507208952,0.9203468441217988,0.4161534400844624,0.6404265768610118,0.6860643185298622,0.0561797752808988,sex_Female,0.0,790.0,13272.0,Train
0.059,9365.0,9106.0,0.4929890097991446,0.9181286549707602,0.4119743093436565,0.6415160801718975,0.6883001531393568,0.057267790394245,sex_Female,0.0,812.0,13367.0,Train
0.06,9264.0,9092.0,0.4953148834168664,0.916717080056463,0.4075312335034313,0.6431350357218646,0.6909647779479327,0.0577864838393731,sex_Female,0.0,826.0,13468.0,Train
0.061,9168.0,9065.0,0.497175451105139,0.9139947570074612,0.4033081119127221,0.6440268551738836,0.6930781010719755,0.0591662620517444,sex_Female,0.0,853.0,13564.0,Train
